,open,high,low,close,volume
1686140700000,1865.5,1865.68,1864.69,1864.85,8.0605
1686140760000,1864.79,1865.18,1864.79,1865.18,4.56624
1686140820000,1865.4,1866.05,1865.4,1865.48,7.59458
1686140880000,1865.39,1865.4,1865.39,1865.4,0.43912
1686140940000,1865.39,1866.25,1865.39,1866.25,4.08401
1686141000000,1865.54,1865.72,1864.89,1865.72,8.21664
1686141060000,1865.44,1867.1,1865.35,1867.1,19.73628
1686141120000,1866.77,1866.9,1866.72,1866.88,2.223
1686141180000,1866.44,1867.23,1866.44,1867.02,5.71355
1686141240000,1866.86,1867.29,1866.86,1867.29,4.31493
1686141300000,1866.98,1867.14,1866.03,1866.59,13.46755
1686141360000,1865.4,1865.4,1842.4,1865.3,8.29492
1686141420000,1865.28,1866.15,1865.15,1865.89,17.84354
1686141480000,1865.69,1866.03,1865.14,1865.5,8.46438
1686141540000,1865.28,1865.75,1865.28,1865.75,2.98568
1686141600000,1865.79,1867.29,1865.79,1867.22,19.38739
1686141660000,1867.14,1867.52,1867.14,1867.52,3.66859
1686141720000,1867.49,1868.07,1867.49,1868.07,5.402
1686141780000,1868.08,1868.17,1867.99,1867.99,1.91638
1686141840000,1867.83,1868.12,1867.74,1868.12,8.25401
1686141900000,1868.12,1868.21,1867.14,1867.46,5.78691
1686141960000,1867.47,1867.94,1867.47,1867.94,2.70377
1686142020000,1867.9,1868.72,1867.9,1868.72,5.35307
1686142080000,1868.27,1868.27,1867.85,1867.85,1.35967
1686142140000,1867.85,1867.85,1867.85,1867.85,0.0
1686142200000,1866.5,1866.5,1866.22,1866.29,1.13582
1686142260000,1866.29,1867.19,1866.29,1866.67,7.1243
1686142320000,1866.17,1866.17,1862.48,1864.58,12.6214
1686142380000,1864.51,1866.35,1736.27,1864.48,32.51281
1686142440000,1864.21,1864.71,1861.28,1864.71,32.63941
1686142500000,1864.66,1865.05,1864.35,1865.05,11.16483
1686142560000,1865.12,1865.41,1865.12,1865.41,2.39709
1686142620000,1865.44,1865.55,1865.44,1865.55,1.04171
1686142680000,1865.04,1865.04,1863.67,1863.69,6.21003
1686142740000,1863.54,1864.93,1827.82,1864.93,44.94101
