open_time,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
1686703200000,1742.31000000,1742.34000000,1742.04000000,1742.04000000,212.24050000,1686703259999,369764.53019800,289,59.01920000,102817.06472900,0
1686703260000,1742.04000000,1743.67000000,1742.04000000,1743.67000000,195.95090000,1686703319999,341465.91844900,480,174.95610000,304878.05804100,0
1686703320000,1743.67000000,1745.24000000,1743.29000000,1744.50000000,490.57290000,1686703379999,855746.07637700,807,313.88810000,547546.71102400,0
1686703380000,1744.51000000,1745.84000000,1744.00000000,1745.39000000,399.35810000,1686703439999,696808.14035200,538,289.45860000,505021.06313500,0
1686703440000,1745.39000000,1745.39000000,1744.27000000,1744.27000000,123.38680000,1686703499999,215306.13918700,274,60.26680000,105160.77405600,0
1686703500000,1744.27000000,1744.27000000,1743.02000000,1743.87000000,154.41280000,1686703559999,269210.87095200,336,107.83440000,187995.90556700,0
1686703560000,1743.86000000,1744.11000000,1743.75000000,1743.90000000,186.01830000,1686703619999,324399.24805400,248,29.11660000,50775.36768000,0
1686703620000,1743.90000000,1743.90000000,1743.22000000,1743.24000000,86.12810000,1686703679999,150153.48877800,285,64.33990000,112162.14420000,0
1686703680000,1743.25000000,1744.05000000,1743.24000000,1743.88000000,105.83660000,1686703739999,184548.43325500,256,82.85960000,144479.52251800,0
1686703740000,1743.89000000,1743.89000000,1743.83000000,1743.88000000,56.21230000,1686703799999,98026.06528400,224,48.34870000,84312.99727400,0
1686703800000,1743.87000000,1743.88000000,1742.89000000,1742.89000000,56.05910000,1686703859999,97748.23909800,198,18.53000000,32312.70224400,0
1686703860000,1742.89000000,1743.60000000,1742.89000000,1743.42000000,130.73230000,1686703919999,227910.20412800,326,84.35980000,147060.00258500,0
1686703920000,1743.42000000,1744.02000000,1743.41000000,1743.48000000,84.70010000,1686703979999,147697.26686400,254,43.09220000,75138.48288000,0
1686703980000,1743.47000000,1743.48000000,1742.76000000,1742.76000000,45.29360000,1686704039999,78957.05761400,289,20.47140000,35683.68428900,0
1686704040000,1742.76000000,1743.20000000,1742.76000000,1743.20000000,24.48960000,1686704099999,42683.16247800,167,23.28750000,40587.96459000,0
1686704100000,1743.19000000,1743.20000000,1742.71000000,1742.71000000,79.91060000,1686704159999,139278.75310500,245,49.87700000,86926.25674500,0
1686704160000,1742.72000000,1742.77000000,1742.71000000,1742.72000000,117.64410000,1686704219999,205024.31643200,191,62.97490000,109749.16709500,0
1686704220000,1742.73000000,1744.70000000,1742.51000000,1744.55000000,156.96160000,1686704279999,273625.98180600,374,125.55800000,218879.56680800,0
1686704280000,1744.55000000,1744.55000000,1743.88000000,1744.10000000,61.64840000,1686704339999,107529.46992400,194,37.58740000,65555.69688900,0
1686704340000,1744.10000000,1744.53000000,1743.88000000,1744.52000000,119.72090000,1686704399999,208803.44196200,387,94.03850000,164011.87002500,0
1686704400000,1744.52000000,1745.43000000,1743.82000000,1743.83000000,263.31210000,1686704459999,459475.98877000,444,28.76220000,50183.18451800,0
1686704460000,1743.83000000,1743.83000000,1743.59000000,1743.60000000,21.03600000,1686704519999,36680.96521900,149,7.42810000,12951.85624400,0
1686704520000,1743.59000000,1743.60000000,1743.51000000,1743.51000000,17.09610000,1686704579999,29808.52685100,156,6.65400000,11601.86887700,0
1686704580000,1743.51000000,1743.52000000,1742.94000000,1742.95000000,21.81560000,1686704639999,38026.80617700,170,14.38850000,25079.38623800,0
1686704640000,1742.95000000,1743.18000000,1742.94000000,1743.03000000,106.89720000,1686704699999,186321.26599900,208,92.89380000,161912.03800800,0
1686704700000,1743.04000000,1743.51000000,1742.41000000,1742.42000000,78.82610000,1686704759999,137407.85662600,268,40.46310000,70532.72556700,0
1686704760000,1742.41000000,1742.42000000,1742.14000000,1742.14000000,46.69360000,1686704819999,81348.93920600,167,35.07280000,61102.21893500,0
1686704820000,1742.15000000,1742.15000000,1742.14000000,1742.15000000,41.44070000,1686704879999,72195.62602800,155,12.49300000,21764.67995000,0
1686704880000,1742.14000000,1742.49000000,1741.89000000,1741.90000000,103.61910000,1686704939999,180528.39215400,291,55.40210000,96521.12536900,0
1686704940000,1741.89000000,1742.37000000,1741.89000000,1742.36000000,37.68440000,1686704999999,65650.14353100,161,31.15640000,54277.79327900,0
