,open,high,low,close,volume
2023-06-07 12:18:00,1858.99,2019.11,1858.93,1859.57,29.98822
2023-06-07 12:19:00,1859.54,1859.57,1859.54,1859.54,1.08437
2023-06-07 12:20:00,1859.09,1859.09,1350.0,1858.74,18.76368
2023-06-07 12:21:00,1858.74,1861.06,1858.74,1861.06,9.94108
2023-06-07 12:22:00,1861.14,2019.11,1861.14,1863.84,22.71362
2023-06-07 12:23:00,1863.78,1865.86,1863.78,1864.83,21.13968
2023-06-07 12:24:00,1864.15,1865.51,1864.15,1865.48,11.16883
2023-06-07 12:25:00,1864.99,1865.39,1863.78,1864.01,10.26744
2023-06-07 12:26:00,1864.02,1864.9,1864.02,1864.67,10.7216
2023-06-07 12:27:00,1864.69,1864.75,1863.69,1863.83,4.33248
2023-06-07 12:28:00,1863.8,1863.8,1818.66,1818.66,23.4492
2023-06-07 12:29:00,1863.46,1864.52,1818.66,1864.1,29.92017
2023-06-07 12:30:00,1864.01,1865.71,1863.95,1865.71,13.79556
2023-06-07 12:31:00,1865.88,1869.18,1865.88,1869.18,25.08988
2023-06-07 12:32:00,1869.33,1872.33,1858.04,1872.33,35.15702
2023-06-07 12:33:00,1873.74,1876.21,1873.04,1873.48,15.14695
2023-06-07 12:34:00,1873.02,1874.73,1858.04,1874.56,41.95068
2023-06-07 12:35:00,1874.69,1874.73,1858.04,1873.96,23.15661
2023-06-07 12:36:00,1872.68,1872.68,1858.54,1871.33,11.63246
2023-06-07 12:37:00,1871.33,1871.33,1871.33,1871.33,0.0
2023-06-07 12:38:00,1870.23,1870.33,1869.04,1869.3,4.11294
2023-06-07 12:39:00,1868.64,1872.92,1868.64,1870.11,8.25829
2023-06-07 12:40:00,1870.0,1874.73,1868.36,1868.99,30.84904
2023-06-07 12:41:00,1869.0,1874.73,1868.71,1870.03,28.05965
2023-06-07 12:42:00,1870.03,1870.76,1870.03,1870.76,12.72276
2023-06-07 12:43:00,1870.64,1871.25,1868.6,1868.8,25.23947
2023-06-07 12:44:00,1868.9,1869.49,1868.76,1869.24,7.50664
2023-06-07 12:45:00,1869.05,1869.66,1868.48,1868.65,10.6123
2023-06-07 12:46:00,1868.61,1868.61,1867.91,1868.26,3.07291
2023-06-07 12:47:00,1867.83,1868.46,1867.83,1868.46,4.35699
2023-06-07 12:48:00,1868.42,1868.42,1868.05,1868.05,3.90733
2023-06-07 12:49:00,1867.59,1868.22,1867.57,1868.22,4.66296
2023-06-07 12:50:00,1867.95,1867.95,1867.19,1867.26,3.10598
2023-06-07 12:51:00,1867.48,1869.0,1867.48,1867.79,12.03408
2023-06-07 12:52:00,1867.4,1867.4,1867.14,1867.39,2.9506
2023-06-07 12:53:00,1867.67,1868.72,1867.67,1868.51,9.96676
2023-06-07 12:54:00,1868.6,1868.66,1867.6,1867.8,10.01042
2023-06-07 12:55:00,1867.68,1868.66,1866.96,1867.76,29.34005
2023-06-07 12:56:00,1867.86,1899.63,1867.86,1870.27,37.08232
2023-06-07 12:57:00,1869.01,1869.58,1868.34,1868.34,4.85047
2023-06-07 12:58:00,1868.08,1868.81,1868.05,1868.81,5.61889
2023-06-07 12:59:00,1868.82,1869.73,1868.82,1869.73,6.84185
2023-06-07 13:00:00,1870.23,1870.79,1868.8,1868.89,16.87607
2023-06-07 13:01:00,1869.11,1869.75,1867.55,1867.55,20.48047
2023-06-07 13:02:00,1867.54,1867.54,1866.9,1866.95,3.64686
2023-06-07 13:03:00,1866.67,1866.89,1855.47,1865.59,14.9458
2023-06-07 13:04:00,1865.57,1899.63,1863.59,1866.28,32.18812
2023-06-07 13:05:00,1865.96,1865.96,1865.44,1865.44,3.38751
2023-06-07 13:06:00,1864.57,1865.79,1861.6,1863.47,30.73412
2023-06-07 13:07:00,1863.47,1864.29,1862.58,1862.62,14.08286
2023-06-07 13:08:00,1862.85,5961.12,1862.85,1865.4,13.3189
2023-06-07 13:09:00,1865.51,1865.74,1864.45,1864.45,8.64821
2023-06-07 13:10:00,1864.03,1864.74,1854.72,1863.56,7.64897
2023-06-07 13:11:00,1863.57,1863.84,1863.57,1863.84,2.08715
2023-06-07 13:12:00,1863.33,1863.59,1859.64,1862.94,15.13319
2023-06-07 13:13:00,1862.94,1871.28,1862.94,1864.14,14.07714
